"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","test_4_delete_account","api_tests","2026-08-11","passed","2026-08-11","","test_crud","",""
"","108","test_login_invalid_credentials","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
"","118","test_search_product[saree]","api_tests","2026-08-11","passed","2026-08-11","","test_search_product","",""
"","113","test_get_brands_list","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
"","750","test_1_create_account","api_tests","2026-08-11","passed","2026-08-11","","test_crud","",""
"","348","test_create_account_existing_email","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
"","142","test_3_update_account","api_tests","2026-08-11","passed","2026-08-11","","test_crud","",""
"","130","test_search_product[dress]","api_tests","2026-08-11","passed","2026-08-11","","test_search_product","",""
"","108","test_search_product_without_param","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
"","128","test_search_product[top]","api_tests","2026-08-11","passed","2026-08-11","","test_search_product","",""
"","105","test_products_list_wrong_method_put","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
"","105","test_login_wrong_method_get","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
"","162","test_get_products","api_tests","2026-08-11","passed","2026-08-11","","test_get_products","",""
"","117","test_search_product[jean]","api_tests","2026-08-11","passed","2026-08-11","","test_search_product","",""
"","114","test_2_get_account","api_tests","2026-08-11","passed","2026-08-11","","test_crud","",""
"","105","test_login_without_email","api_tests","2026-08-11","passed","2026-08-11","","test_negatove_cases","",""
